Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA
E0,2020-10-19,West Brom,Burnley,0,0,D,0,0,D,A Taylor,13,9,6,4,15,17,8,2,2,2,0,0,2.54,3.37,3.05
E0,2020-10-19,Leeds,Wolves,0,1,A,0,0,D,D Coote,13,7,2,3,13,12,8,3,2,1,0,0,2.55,3.31,3.07
E0,2020-10-23,Aston Villa,Leeds,0,3,A,0,0,D,P Tierney,12,27,4,9,14,17,6,5,2,2,0,0,2.13,3.83,3.44
E0,2020-10-24,West Ham,Man City,1,1,D,1,0,H,A Taylor,6,14,2,7,14,6,2,10,2,0,0,0,7.51,5.3,1.42
E0,2020-10-24,Fulham,Crystal Palace,1,2,A,0,1,A,G Scott,16,14,3,10,11,11,4,4,0,1,1,0,2.8,3.21,2.86
E0,2020-10-24,Man United,Chelsea,0,0,D,0,0,D,M Atkinson,14,6,4,1,8,6,9,6,3,1,0,0,2.45,3.65,2.97
E0,2020-10-24,Liverpool,Sheffield United,2,1,H,1,1,D,M Dean,17,13,5,2,7,15,7,3,0,3,0,0,1.25,6.66,12.96
E0,2020-10-25,Southampton,Everton,2,0,H,2,0,H,K Friend,12,6,6,2,11,11,4,5,1,2,0,1,2.84,3.58,2.58
E0,2020-10-25,Wolves,Newcastle,1,1,D,0,0,D,L Mason,16,5,3,2,10,10,2,3,0,1,0,0,1.79,3.59,5.48
E0,2020-10-25,Arsenal,Leicester,0,1,A,0,0,D,C Pawson,12,6,4,2,13,9,9,3,3,5,0,0,1.95,3.83,4.06
E0,2020-10-26,Brighton,West Brom,1,1,D,1,0,H,J Moss,5,9,3,3,14,7,6,2,2,0,0,0,1.78,4.08,4.7
E0,2020-10-26,Burnley,Tottenham,0,1,A,0,0,D,M Oliver,13,9,4,3,9,7,4,5,2,0,0,0,5.63,4.15,1.66
E0,2020-10-30,Wolves,Crystal Palace,2,0,H,2,0,H,M Atkinson,15,11,5,2,13,4,7,6,0,2,0,1,2.07,3.21,4.41
E0,2020-10-31,Sheffield United,Man City,0,1,A,0,1,A,M Oliver,5,16,1,8,14,6,2,5,0,0,0,0,9.8,5.91,1.33
E0,2020-10-31,Burnley,Chelsea,0,3,A,0,1,A,D Coote,5,14,0,9,10,15,3,4,1,0,0,0,6.32,4.39,1.56
E0,2020-10-31,Liverpool,West Ham,2,1,H,1,1,D,K Friend,9,4,5,3,13,14,1,2,0,1,0,0,1.4,5.32,8.03
E0,2020-11-01,Aston Villa,Southampton,3,4,A,0,3,A,D England,19,9,10,4,12,17,11,1,1,2,0,0,2.53,3.72,2.81
E0,2020-11-01,Newcastle,Everton,2,1,H,0,0,D,S Attwell,11,15,4,4,9,10,5,4,2,4,0,0,3.82,3.56,2.09
E0,2020-11-01,Man United,Arsenal,0,1,A,0,0,D,M Dean,8,7,2,2,12,12,6,3,3,3,0,0,2.05,3.78,3.73
E0,2020-11-01,Tottenham,Brighton,2,1,H,1,0,H,G Scott,9,6,3,2,14,13,4,5,2,1,0,0,1.65,4.26,5.54
E0,2020-11-02,Fulham,West Brom,2,0,H,2,0,H,S Hooper,13,10,6,1,13,11,5,2,3,2,0,0,2.47,3.4,3.13
E0,2020-11-02,Leeds,Leicester,1,4,A,0,2,A,A Marriner,11,10,4,8,9,5,10,3,1,1,0,0,2.59,3.65,2.79
E0,2020-11-06,Brighton,Burnley,0,0,D,0,0,D,M Dean,19,4,3,1,11,5,5,3,1,0,0,0,1.93,3.51,4.63
E0,2020-11-06,Southampton,Newcastle,2,0,H,1,0,H,P Bankes,15,4,8,2,12,11,8,3,1,2,0,0,2.08,3.62,3.8
E0,2020-11-07,Everton,Man United,1,3,A,1,2,A,P Tierney,7,13,1,5,12,19,5,2,4,2,0,0,2.98,3.65,2.44
E0,2020-11-07,Crystal Palace,Leeds,4,1,H,3,1,H,C Kavanagh,10,9,6,3,9,1,3,6,0,2,0,0,2.99,3.48,2.52
E0,2020-11-07,Chelsea,Sheffield United,4,1,H,2,1,H,J Moss,20,6,9,3,5,14,6,7,0,2,0,0,1.41,5.06,8.48
E0,2020-11-07,West Ham,Fulham,1,0,H,0,0,D,R Jones,16,13,7,3,10,9,9,5,2,2,0,0,1.85,3.98,4.34
E0,2020-11-08,West Brom,Tottenham,0,1,A,0,0,D,A Madley,12,19,2,5,17,12,9,6,1,0,0,0,6.58,4.45,1.54
E0,2020-11-08,Leicester,Wolves,1,0,H,1,0,H,A Taylor,10,7,3,2,12,8,6,3,2,3,0,0,2.47,3.17,3.35
E0,2020-11-08,Man City,Liverpool,1,1,D,1,1,D,C Pawson,7,10,2,3,19,11,1,2,3,1,0,0,2.0,4.2,3.56
E0,2020-11-08,Arsenal,Aston Villa,0,3,A,0,1,A,M Atkinson,13,15,2,6,11,13,3,8,0,0,0,0,1.7,4.11,5.27
E0,2020-11-21,Newcastle,Chelsea,0,2,A,0,1,A,C Pawson,8,14,1,3,11,12,7,4,2,0,0,0,6.74,4.61,1.52
E0,2020-11-21,Aston Villa,Brighton,1,2,A,0,1,A,M Oliver,15,7,4,3,5,18,12,3,2,1,0,1,2.24,3.69,3.28
E0,2020-11-21,Tottenham,Man City,2,0,H,1,0,H,M Dean,4,22,2,5,13,19,0,10,2,2,0,0,4.24,4.21,1.82
E0,2020-11-21,Man United,West Brom,1,0,H,0,0,D,D Coote,17,7,7,2,12,17,8,2,1,1,0,0,1.34,5.5,10.03
E0,2020-11-22,Fulham,Everton,2,3,A,1,3,A,A Madley,14,9,6,7,14,10,2,5,2,0,0,0,4.06,3.86,1.93
E0,2020-11-22,Sheffield United,West Ham,0,1,A,0,0,D,M Atkinson,9,15,5,3,7,6,2,6,0,0,0,0,3.2,3.3,2.48
E0,2020-11-22,Leeds,Arsenal,0,0,D,0,0,D,A Taylor,25,9,4,2,9,8,5,3,3,0,0,1,3.18,3.84,2.25
E0,2020-11-22,Liverpool,Leicester,3,0,H,2,0,H,C Kavanagh,24,11,13,4,15,6,10,3,0,2,0,0,1.88,4.08,3.84
E0,2020-11-23,Burnley,Crystal Palace,1,0,H,1,0,H,K Friend,10,15,4,5,13,9,4,7,2,0,0,0,2.89,3.06,2.89
E0,2020-11-23,Wolves,Southampton,1,1,D,0,0,D,A Marriner,20,7,9,2,14,13,7,4,2,0,0,0,2.34,3.34,3.41
E0,2020-11-27,Crystal Palace,Newcastle,0,2,A,0,0,D,G Scott,12,14,3,7,9,10,7,3,2,2,0,0,2.18,3.3,3.84
E0,2020-11-28,Brighton,Liverpool,1,1,D,0,0,D,S Attwell,11,6,3,2,9,13,4,3,2,1,0,0,5.42,4.25,1.65
E0,2020-11-28,Man City,Burnley,5,0,H,3,0,H,L Mason,19,9,6,1,12,4,6,4,0,0,0,0,1.18,8.3,14.98
E0,2020-11-28,Everton,Leeds,0,1,A,0,0,D,C Kavanagh,15,23,8,7,8,14,4,2,1,2,0,0,2.07,3.76,3.64
E0,2020-11-28,West Brom,Sheffield United,1,0,H,1,0,H,M Dean,17,21,6,5,10,9,14,9,2,3,0,0,2.66,3.22,2.99
E0,2020-11-29,Southampton,Man United,2,3,A,2,0,H,J Moss,10,15,5,6,12,12,5,9,1,0,0,0,3.94,3.66,2.02
E0,2020-11-29,Chelsea,Tottenham,0,0,D,0,0,D,P Tierney,13,5,3,1,20,9,3,3,4,2,0,0,2.14,3.51,3.69
E0,2020-11-29,Arsenal,Wolves,1,2,A,1,2,A,M Oliver,13,11,2,5,13,13,8,4,3,4,0,0,2.18,3.33,3.81
E0,2020-11-30,Leicester,Fulham,1,2,A,0,2,A,S Hooper,16,10,3,5,9,21,6,5,0,2,0,0,1.54,4.53,6.44
E0,2020-11-30,West Ham,Aston Villa,2,1,H,1,1,D,P Bankes,6,16,2,6,20,7,3,7,1,1,0,0,2.36,3.64,3.09
E0,2020-12-05,Burnley,Everton,1,1,D,1,1,D,A Taylor,8,13,3,6,6,9,8,4,0,0,0,0,4.14,3.58,1.99
E0,2020-12-05,Man City,Fulham,2,0,H,2,0,H,J Moss,16,6,6,1,7,6,9,3,0,0,0,0,1.13,10.23,23.63
E0,2020-12-05,West Ham,Man United,1,3,A,1,0,H,A Marriner,19,15,6,6,9,10,5,4,0,0,0,0,3.75,3.69,2.06
E0,2020-12-05,Chelsea,Leeds,3,1,H,1,1,D,K Friend,23,8,11,3,12,9,8,4,0,2,0,0,1.56,4.54,6.19
E0,2020-12-06,West Brom,Crystal Palace,1,5,A,1,1,D,P Tierney,9,18,4,6,10,16,4,6,2,2,1,0,2.98,3.3,2.61
E0,2020-12-06,Sheffield United,Leicester,1,2,A,1,1,D,S Attwell,4,13,1,4,13,6,6,5,1,3,0,0,4.02,3.54,2.04
E0,2020-12-06,Tottenham,Arsenal,2,0,H,2,0,H,M Atkinson,6,11,3,2,16,12,3,9,1,2,0,0,2.07,3.56,3.87
E0,2020-12-06,Liverpool,Wolves,4,0,H,1,0,H,C Pawson,11,9,6,3,8,14,4,6,1,1,0,0,1.54,4.25,7.17
E0,2020-12-07,Brighton,Southampton,1,2,A,1,1,D,D Coote,12,10,4,3,12,12,4,3,3,3,0,0,2.56,3.46,2.93
E0,2020-12-11,Leeds,West Ham,1,2,A,1,1,D,M Oliver,13,19,7,8,12,10,5,6,1,2,0,0,2.22,3.71,3.3
E0,2020-12-12,Wolves,Aston Villa,0,1,A,0,0,D,M Dean,16,13,7,2,23,15,5,8,2,5,0,0,2.4,3.32,3.28
E0,2020-12-12,Newcastle,West Brom,2,1,H,1,0,H,D England,12,13,7,3,9,12,4,3,2,3,0,0,2.62,3.32,2.95
E0,2020-12-12,Man United,Man City,0,0,D,0,0,D,C Kavanagh,11,9,2,2,13,6,4,3,1,1,0,0,4.49,4.32,1.75
E0,2020-12-12,Everton,Chelsea,1,0,H,1,0,H,J Moss,9,10,4,3,10,11,6,6,2,3,0,0,4.52,4.28,1.76
E0,2020-12-13,Southampton,Sheffield United,3,0,H,1,0,H,A Madley,16,3,6,0,8,14,8,4,0,1,0,0,1.73,4.01,5.07
E0,2020-12-13,Crystal Palace,Tottenham,1,1,D,0,1,A,K Friend,16,14,5,6,15,11,4,7,1,1,0,0,4.92,3.83,1.79
E0,2020-12-13,Fulham,Liverpool,1,1,D,1,0,H,A Marriner,10,12,5,6,9,5,6,8,3,1,0,0,8.67,5.98,1.34
E0,2020-12-13,Arsenal,Burnley,0,1,A,0,0,D,G Scott,18,10,6,2,5,11,13,4,2,1,1,0,1.54,4.33,6.84
E0,2020-12-13,Leicester,Brighton,3,0,H,3,0,H,M Atkinson,15,12,6,4,9,11,9,5,2,1,0,0,2.06,3.56,3.91
E0,2020-12-15,Wolves,Chelsea,2,1,H,0,0,D,S Attwell,12,13,4,3,12,12,5,6,2,2,0,0,5.59,3.9,1.7
E0,2020-12-15,Man City,West Brom,1,1,D,1,1,D,P Bankes,26,5,7,1,5,8,13,2,2,3,0,0,1.11,9.75,23.03
E0,2020-12-16,Arsenal,Southampton,1,1,D,0,1,A,P Tierney,9,13,4,3,13,13,2,7,1,3,1,0,2.27,3.55,3.32
E0,2020-12-16,Leeds,Newcastle,5,2,H,1,1,D,S Hooper,25,10,10,4,10,13,7,4,3,1,0,0,1.78,4.07,4.6
E0,2020-12-16,Leicester,Everton,0,2,A,0,1,A,L Mason,14,11,2,6,12,9,4,6,2,3,0,0,2.23,3.62,3.37
E0,2020-12-16,Fulham,Brighton,0,0,D,0,0,D,R Jones,9,9,4,4,15,11,1,8,1,0,0,0,3.0,3.4,2.53
E0,2020-12-16,Liverpool,Tottenham,2,1,H,1,1,D,A Taylor,17,8,11,2,8,9,7,4,0,2,0,0,1.81,3.9,4.64
E0,2020-12-16,West Ham,Crystal Palace,1,1,D,0,1,A,D Coote,9,8,2,2,8,12,5,3,0,1,0,1,2.09,3.54,3.82
E0,2020-12-17,Aston Villa,Burnley,0,0,D,0,0,D,C Pawson,27,6,7,4,17,19,11,1,1,1,0,0,1.76,3.93,4.95
E0,2020-12-17,Sheffield United,Man United,2,3,A,1,2,A,M Oliver,12,14,6,8,17,8,6,3,3,2,0,0,7.35,4.78,1.47
E0,2020-12-19,Crystal Palace,Liverpool,0,7,A,0,3,A,J Moss,5,14,3,8,5,11,5,4,1,0,0,0,6.52,4.53,1.53
E0,2020-12-19,Southampton,Man City,0,1,A,0,1,A,M Dean,9,11,3,5,9,11,6,6,2,2,0,0,6.56,4.72,1.51
E0,2020-12-19,Everton,Arsenal,2,1,H,2,1,H,A Marriner,9,13,2,2,9,9,4,3,1,3,0,0,2.5,3.47,2.99
E0,2020-12-19,Newcastle,Fulham,1,1,D,0,1,A,G Scott,12,11,5,4,7,17,2,9,1,2,0,1,2.63,3.33,2.93
E0,2020-12-20,Brighton,Sheffield United,1,1,D,0,0,D,P Bankes,21,5,5,3,9,11,14,2,1,5,0,1,1.69,3.85,5.79
E0,2020-12-20,Tottenham,Leicester,0,2,A,0,1,A,C Pawson,8,17,3,4,15,14,5,3,2,2,0,0,2.1,3.54,3.79
E0,2020-12-20,Man United,Leeds,6,2,H,4,1,H,A Taylor,26,17,14,3,6,6,11,13,1,0,0,0,1.73,4.31,4.66
E0,2020-12-20,West Brom,Aston Villa,0,3,A,0,1,A,M Atkinson,1,19,1,10,14,8,1,7,1,2,1,0,3.82,3.83,2.0
E0,2020-12-21,Burnley,Wolves,2,1,H,1,0,H,L Mason,10,15,4,3,11,15,1,7,2,1,0,0,3.73,3.19,2.27
E0,2020-12-21,Chelsea,West Ham,3,0,H,1,0,H,C Kavanagh,11,6,7,0,11,6,5,4,0,0,0,0,1.52,4.72,6.46
E0,2020-12-26,Leicester,Man United,2,2,D,1,1,D,M Dean,10,9,2,4,10,17,5,0,2,1,0,0,3.08,3.67,2.35
E0,2020-12-26,Aston Villa,Crystal Palace,3,0,H,1,0,H,A Taylor,21,13,10,6,18,16,4,4,1,4,1,0,1.95,3.9,3.91
E0,2020-12-26,Fulham,Southampton,0,0,D,0,0,D,D England,10,3,1,2,15,12,6,3,2,0,0,0,3.29,3.42,2.35
E0,2020-12-26,Arsenal,Chelsea,3,1,H,2,0,H,M Oliver,15,19,7,3,13,10,7,9,2,1,0,0,4.14,3.73,1.94
E0,2020-12-26,Man City,Newcastle,2,0,H,1,0,H,A Marriner,11,7,6,2,5,12,7,3,2,2,0,0,1.14,9.55,22.92
E0,2020-12-26,Sheffield United,Everton,0,1,A,0,0,D,D Coote,10,7,2,3,11,10,6,3,2,4,0,0,4.26,3.66,1.94
E0,2020-12-27,Leeds,Burnley,1,0,H,1,0,H,R Jones,11,14,4,6,8,14,4,12,0,3,0,0,1.76,4.09,4.71
E0,2020-12-27,West Ham,Brighton,2,2,D,0,1,A,S Hooper,11,13,4,4,6,8,5,4,0,0,0,0,2.42,3.38,3.19
E0,2020-12-27,Liverpool,West Brom,1,1,D,1,0,H,K Friend,17,5,2,3,8,5,8,3,0,1,0,0,1.14,9.42,22.43
E0,2020-12-27,Wolves,Tottenham,1,1,D,0,1,A,P Tierney,11,6,6,3,20,13,9,2,4,1,0,0,3.76,3.37,2.17
E0,2020-12-28,Crystal Palace,Leicester,1,1,D,0,0,D,G Scott,4,17,1,3,10,7,2,5,0,1,0,0,3.95,3.58,2.04
E0,2020-12-28,Chelsea,Aston Villa,1,1,D,1,0,H,S Attwell,16,10,5,2,16,3,11,4,3,1,0,0,1.71,4.25,4.89
E0,2020-12-29,Brighton,Arsenal,0,1,A,0,0,D,M Atkinson,13,11,2,3,11,4,5,4,2,0,0,0,3.27,3.43,2.35
E0,2020-12-29,Burnley,Sheffield United,1,0,H,1,0,H,C Kavanagh,5,7,3,3,13,17,3,5,1,2,0,0,2.45,3.2,3.31
E0,2020-12-29,Southampton,West Ham,0,0,D,0,0,D,A Madley,8,8,3,3,16,15,4,3,3,1,0,0,2.23,3.57,3.4
E0,2020-12-29,West Brom,Leeds,0,5,A,0,4,A,L Mason,4,14,1,6,7,10,3,10,0,1,0,0,3.72,3.71,2.06
E0,2020-12-29,Man United,Wolves,1,0,H,0,0,D,J Moss,11,9,3,5,11,7,2,2,1,1,0,0,1.53,4.35,5.94
E0,2020-12-30,Newcastle,Liverpool,0,0,D,0,0,D,P Tierney,8,11,2,4,9,13,5,12,2,3,0,0,9.61,6.09,1.32
E0,2021-01-01,Everton,West Ham,0,1,A,0,0,D,K Friend,10,11,2,5,9,7,5,4,2,0,0,0,2.19,3.52,3.55
E0,2021-01-01,Man United,Aston Villa,2,1,H,1,0,H,M Oliver,19,5,9,5,22,10,5,10,4,0,0,0,1.78,4.14,4.52
E0,2021-01-02,Tottenham,Leeds,3,0,H,2,0,H,D Coote,20,18,7,5,15,13,3,5,2,1,1,0,1.81,4.13,4.34
E0,2021-01-02,Crystal Palace,Sheffield United,2,0,H,2,0,H,S Attwell,9,7,4,2,8,18,3,6,1,3,0,0,2.02,3.45,3.84
E0,2021-01-02,Brighton,Wolves,3,3,D,1,3,A,A Madley,13,11,4,4,13,8,5,8,2,1,0,0,2.68,3.28,2.91
E0,2021-01-02,West Brom,Arsenal,0,4,A,0,2,A,M Atkinson,7,21,3,12,7,4,3,5,1,2,0,0,5.98,4.09,1.63
E0,2021-01-03,Newcastle,Leicester,1,2,A,0,0,D,R Jones,8,9,2,3,10,11,3,6,0,2,0,0,5.35,3.99,1.7
E0,2021-01-03,Chelsea,Man City,1,3,A,0,3,A,A Taylor,9,18,2,6,11,10,5,3,3,1,0,0,2.95,3.67,2.4
E0,2021-01-04,Southampton,Liverpool,1,0,H,1,0,H,A Marriner,7,17,3,1,5,12,1,10,1,3,0,0,5.03,4.44,1.67
E0,2021-01-12,Sheffield United,Newcastle,1,0,H,0,0,D,A Madley,17,7,4,3,13,12,5,2,2,3,0,1,2.53,3.18,3.2
E0,2021-01-12,Burnley,Man United,0,1,A,0,0,D,K Friend,11,13,0,7,15,13,3,4,1,2,0,0,7.33,4.66,1.48
E0,2021-01-12,Wolves,Everton,1,2,A,1,1,D,M Atkinson,12,5,3,3,6,11,6,5,2,2,0,0,2.56,3.18,3.15
E0,2021-01-13,Man City,Brighton,1,0,H,1,0,H,D England,16,5,6,1,4,12,8,4,0,2,0,0,1.19,7.61,16.97
E0,2021-01-13,Tottenham,Fulham,1,1,D,1,0,H,P Tierney,15,15,6,4,13,15,6,5,1,2,0,0,1.36,4.97,8.16
E0,2021-01-14,Arsenal,Crystal Palace,0,0,D,0,0,D,A Marriner,11,12,4,2,10,11,7,3,1,1,0,0,1.58,4.18,6.55
E0,2021-01-16,Wolves,West Brom,2,3,A,2,1,H,M Oliver,23,12,6,5,10,14,11,0,2,1,0,0,1.63,3.7,7.07
E0,2021-01-16,Leeds,Brighton,0,1,A,0,1,A,K Friend,7,7,2,2,8,9,5,2,1,1,0,0,2.18,3.67,3.43
E0,2021-01-16,West Ham,Burnley,1,0,H,1,0,H,C Kavanagh,15,10,4,2,12,9,7,4,2,1,0,0,1.85,3.57,4.88
E0,2021-01-16,Fulham,Chelsea,0,1,A,0,0,D,P Bankes,10,21,3,6,11,10,1,12,2,3,1,0,6.81,4.17,1.56
E0,2021-01-16,Leicester,Southampton,2,0,H,1,0,H,S Attwell,16,8,5,3,10,11,2,5,2,2,0,0,1.8,3.69,4.52
E0,2021-01-17,Sheffield United,Tottenham,1,3,A,0,2,A,A Marriner,15,14,5,5,13,4,5,7,4,0,0,0,6.1,3.73,1.68
E0,2021-01-17,Liverpool,Man United,0,0,D,0,0,D,P Tierney,17,8,3,4,15,6,7,3,2,1,0,0,1.98,4.0,3.71
E0,2021-01-17,Man City,Crystal Palace,4,0,H,1,0,H,L Mason,13,2,6,0,9,8,11,1,0,0,0,0,1.18,7.87,18.27
E0,2021-01-18,Arsenal,Newcastle,3,0,H,0,0,D,D Coote,20,4,6,1,9,8,7,2,0,0,0,0,1.45,4.73,7.98
E0,2021-01-19,West Ham,West Brom,2,1,H,1,0,H,G Scott,14,6,6,2,10,10,3,1,0,1,0,0,1.58,4.23,6.35
E0,2021-01-19,Leicester,Chelsea,2,0,H,2,0,H,C Pawson,8,9,6,5,7,16,6,3,1,3,0,0,2.92,3.49,2.55
E0,2021-01-20,Man City,Aston Villa,2,0,H,0,0,D,J Moss,28,11,9,4,10,9,16,2,0,2,0,0,1.24,6.1,11.61
E0,2021-01-20,Fulham,Man United,1,2,A,1,1,D,M Atkinson,12,15,5,5,6,10,2,8,3,1,0,0,6.32,4.41,1.56
E0,2021-01-21,Liverpool,Burnley,0,1,A,0,0,D,M Dean,27,6,6,4,11,8,12,0,2,1,0,0,1.21,7.24,15.81
